movieId,imdbId
1,tt0114709
2,tt0113497
3,tt0113228
4,tt0114885
5,tt0113041
6,tt0113277
7,tt0114319
8,tt0112302
9,tt0114576
10,tt0113189
11,tt0112346
12,tt0112896
13,tt0112453
14,tt0113987
15,tt0112760
16,tt0112641
17,tt0114388
18,tt0113101
19,tt0112281
20,tt0113845
21,tt0113161
22,tt0112722
23,tt0112401
24,tt0114168
25,tt0113627
26,tt0114057
27,tt0114011
28,tt0114117
29,tt0112682
30,tt0115012
31,tt0112792
32,tt0114746
33,tt0114952
34,tt0112431
35,tt0112637
36,tt0112818
37,tt0112286
38,tt0113442
39,tt0112697
40,tt0112749
41,tt0114279
42,tt0112819
43,tt0114272
44,tt0113855
45,tt0114681
46,tt0113347
47,tt0114369
48,tt0114148
49,tt0114916
50,tt0114814
51,tt0109950
52,tt0113819
53,tt0110299
54,tt0112499
55,tt0113158
56,tt0113541
57,tt0113321
58,tt0110877
59,tt0112714
60,tt0113419
61,tt0116260
62,tt0113862
63,tt0116126
64,tt0118002
65,tt0115683
66,tt0116839
67,tt0114753
68,tt0113149
69,tt0113118
70,tt0116367
71,tt0113010
72,tt0113537
73,tt0113828
74,tt0115644
75,tt0115676
76,tt0114367
77,tt0113973
78,tt0112744
79,tt0116731
80,tt0112445
81,tt0114660
82,tt0112379
83,tt0114039
84,tt0113612
85,tt0112365
86,tt0118158
87,tt0116151
88,tt0115697
89,tt0113972
90,tt0113490
92,tt0117002
93,tt0114825
94,tt0115639
95,tt0115759
96,tt0113403
97,tt0113247
98,tt0111173
99,tt0113283
100,tt0115907
101,tt0115734
102,tt0117102
103,tt0118040
104,tt0116483
105,tt0112579
106,tt0110251
107,tt0117110
108,tt0112646
109,tt0113276
110,tt0112573
111,tt0075314
112,tt0113326
113,tt0115645
114,tt0113774
115,tt0112556
116,tt0112373
117,tt0115033
118,tt0116606
119,tt0114536
120,tt0117427
121,tt0106473
122,tt0103859
123,tt0109424
124,tt0114808
125,tt0116324
126,tt0110647
127,tt0111055
128,tt0110217
129,tt0114131
130,tt0112364
131,tt0113107
132,tt0113451
133,tt0114015
134,tt0114500
135,tt0116130
136,tt0113125
137,tt0113756
138,tt0113952
139,tt0114618
140,tt0118055
141,tt0115685
142,tt0094878
143,tt0113200
144,tt0112585
145,tt0112442
146,tt0112342
